ss,id,IPAddress,StartDate,EndDate,MID,study,confirmation_code,Age,Gender,Edu,SES,1.111,threaten,attitudes,value,like,connected,Al-IW1-1,Al-IW1-2,1.112,Al-IW2-1,Al-IW2-2,threat,attitude,value,like,connected,1.121,threaten,attitude,value,like,connected,Alha-II1-1,Alha-II1-2,1.122,Alha-II2-1,Alha-II2-2,threat,attitude,value,like,connected,2.211,threat,attitude,value,like,connected,Dan-DW1-1,Dan-DW1-2,2.212,Dan-DW2-1,Dan-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-DI1-1,DANY-DI1-2,2.222,DANY-DI2-1,DANY-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DW1-1,HAR-DW1-2,3.212,HAR-DW2-1,HAR-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DI1-1,HAR-DI1-2,3.222,HAR-DI2-1,HAR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEF-IW1-1,JEF-IW1-2,4.112,JEF-IW2-1,JEF-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAF-II1-1,JF-II1-2,4.122,JAF-II2-1,JAF-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-IW1-1,CHAD-IW1-2,5.112,CHAD-IW2-1,CHAD-IW2-2,THREAT,ATTITUDE,VALUE,LIKE ,CONNECTED,5.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-II1-1,CHAH-II1-2,5.122,CHAH-II2-1,CHAH-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-DW1-1,ADAM-DW1-2,6.212,ADAM-DW2-1,ADAM-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-DI1-1,ADNA-DI1-2,6.222,ADNA-DI2-1,ADNA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,AL-DW1-1,AL-DW1-2,1.212,AL-DW2-1,AL-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,Alha-D-I-1,Alha-D-I-2,1.222,ALHA-DI2-1,ALHA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DAN-IW1-1,DAN-IW1-2,2.112,DAN-IW2-1,DAN-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-II1-1,DANY-II1-2,2.122,DANY-II2-1,DANY-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-IW1-1,HAR-IW1-2,3.112,HAR-IW2-1,HAR-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-II1-1,HAR-II1-2,3.122,HAR-II2-1,HAR-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEFF-DW1-1,JEF-DW1-2,4.212,JEFF-DW2-1,JEFF-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAFR-DI1-1,JAFR-DI1-2,4.222,JAFR-DI2-1,JAFR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-DW1-1,CHAD-DW1-2,5.212,CHAD-DW2-1,CHAD-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-DI1-1,CHAH-DI1-2,5.222,CHAH-DI2-1,CHAH-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-IW1-1,ADAM-IW1-2,6.112,ADAM-IW2-1,ADAM-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-II1-1,ADNA-II1-2,6.122,ADNA-II2-1,ADNA-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude,eth_ss,vignette.condition.eth.order,VIGNETTE,VIGNETTE_NAME,COND,COND_NAME,ETH_COND,ETH_COND_NAME,ORDER,THREAT,ATTITUDE,value,like,connected,IDENTIFICATION,ts_forced,TS_FORCED_RECODE,TS_SCALE
11,R_30iuINoJJYMr9n4,192.83.228.249,1/21/16 13:49,1/21/16 13:51,A3FQ8ASL796Q0,Julian_2,63728789,38,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,5.122,5,minorities,1,improvement,2,immigrant,2,4,4,3,3,1,2.333333333,2,0,5
12,R_1GuZG1d1u2eHcN6,75.89.65.80,1/21/16 13:48,1/21/16 13:51,A2HM35CWB7IIFM,Julian_2,65848843,55,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,2.222,2,terr,2,deterioration,2,immigrant,2,4,5,5,5,2,4,2,0,3
13,R_23eD3CAxAlBrv9E,107.9.23.140,1/21/16 13:48,1/21/16 13:51,A2PRF5G21RC5G3,Julian_2,84896134,65,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,6,6,5,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,5.121,5,minorities,1,improvement,2,immigrant,1,2,6,6,6,5,5.666666667,1,1,8
14,R_32W38ho7z29PyFU,107.10.210.189,1/21/16 13:50,1/21/16 13:51,A142ZRU284W9O,Julian_2,33830084,33,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,7,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,3,1,6,6.111,6,police,1,improvement,1,white,1,1,7,7,7,7,7,2,0,7
15,R_1F8LiaVnklXcLU1,108.25.108.188,1/21/16 13:49,1/21/16 13:51,A3UV55HC87DO9C,Julian_2,77569655,28,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,5,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,1,6,1.222,1,dad,2,deterioration,2,immigrant,2,6,5,6,7,6,6.333333333,1,1,6
16,R_2BwyceaEmGbjv5N,12.206.248.188,1/21/16 13:48,1/21/16 13:51,A2VQJFWAKPPYJP,Julian_2,61916977,41,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,5,2,2,1,6,5.221,5,minorities,2,deterioration,2,immigrant,1,5,5,5,5,1,3.666666667,2,0,7
17,R_20ZDUPbEQ4AWXCi,68.103.217.75,1/21/16 13:50,1/21/16 13:52,A3MZ9RQJX9T656,Julian_2,36087871,37,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,4.222,4,alcohol,2,deterioration,2,immigrant,2,7,3,3,3,3,3,1,1,7
18,R_2aM3NkGM60zxilZ,24.126.23.117,1/21/16 13:49,1/21/16 13:52,A24ZAX5O63WVNI,Julian_2,87778860,61,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,5.122,5,minorities,1,improvement,2,immigrant,2,2,7,7,7,5,6.333333333,1,1,7
19,R_DTcElyZApAxM6c1,24.27.67.169,1/21/16 13:48,1/21/16 13:52,A25D66AC4QUW2U,Julian_2,58767933,58,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,3,5.121,5,minorities,1,improvement,2,immigrant,1,5,5,5,5,2,4,2,0,5
20,R_23VLPhkbP2LZBIw,72.175.125.199,1/21/16 13:48,1/21/16 13:52,AD368A1RHHRC3,Julian_2,89100253,68,2,4,5,,,,,,,,,,,,,,,,,1,3,6,6,6,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,1.121,1,dad,1,improvement,2,immigrant,1,3,6,6,6,3,5,1,1,7
21,R_2b4c8AjcuoFLIab,65.79.144.190,1/21/16 13:49,1/21/16 13:52,A2J6T9ELNZ97JH,Julian_2,40462791,67,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,3,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,6,1.222,1,dad,2,deterioration,2,immigrant,2,3,5,5,5,4,4.666666667,2,0,5
22,R_1fiNMJCHC61ZFq4,72.33.4.243,1/21/16 13:49,1/21/16 13:52,A3F1YM0OU5E19A,Julian_2,51746936,19,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,I have read the instructions,0,5,2,2,0,6,2.221,2,terr,2,deterioration,2,immigrant,1,1,5,7,7,1,5,2,0,7
23,R_R38pjHP1ofjHG93,69.203.87.104,1/21/16 13:49,1/21/16 13:52,A771BLWJLMWYY,Julian_2,44661714,35,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,6,1,2,1,6,3.211,3,biz,2,deterioration,1,white,1,5,5,6,6,5,5.666666667,2,0,2
24,R_1oj53qst6nrG2n0,68.200.120.175,1/21/16 13:49,1/21/16 13:52,A1ETJBNTO9ZWZ8,Julian_2,96509428,51,1,2,7,,,,,,,,,,,,,,,,,1,3,6,7,7,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,1.121,1,dad,1,improvement,2,immigrant,1,3,6,7,7,6,6.666666667,2,0,5
25,R_1g5wP61IlQ7zXZT,73.142.215.100,1/21/16 13:48,1/21/16 13:52,A2VF667IK9R38W,Julian_2,11552163,23,2,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,6.211,6,police,2,deterioration,1,white,1,2,5,5,3,3,3.666666667,2,0,2
26,R_bHEUl7FBh7tmOPL,216.125.160.51,1/21/16 13:50,1/21/16 13:52,AEWGY34WUIA32,Julian_2,35630064,29,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,5,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,3,4.221,4,alcohol,2,deterioration,2,immigrant,1,2,5,5,5,2,4,1,1,7
27,R_3GfyIOITpuGzOQ8,67.247.139.109,1/21/16 13:48,1/21/16 13:52,A10YS8AVLQWUZZ,Julian_2,23760736,59,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,4.211,4,alcohol,2,deterioration,1,white,1,1,5,5,5,5,5,1,1,8
28,R_3PjJ1hVfjhKORcv,66.231.103.193,1/21/16 13:50,1/21/16 13:52,A1L5H5KX16J1LS,Julian_2,38789808,30,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,5,5,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,3,1,6,3.112,3,biz,1,improvement,1,white,2,5,5,9,7,6,7.333333333,2,0,7
29,R_2YwSWTm616sQmcp,66.91.5.115,1/21/16 13:48,1/21/16 13:53,A3PIU3R3IE6VDW,Julian_2,45095515,28,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,3,6.221,6,police,2,deterioration,2,immigrant,1,5,5,5,5,2,4,2,0,5
30,R_3KxYn8lW02549Ff,76.28.146.190,1/21/16 13:50,1/21/16 13:53,A1JXWWE39KJR2B,Julian_2,25167072,31,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions.,0,5,2,2,0,1,2.222,2,terr,2,deterioration,2,immigrant,2,3,5,5,5,5,5,2,0,3
31,R_2xEtcT6z5WIO4Gd,76.250.40.223,1/21/16 13:51,1/21/16 13:53,A2SD7GN80U31GW,Julian_2,97726007,31,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,5,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,1.211,1,dad,2,deterioration,1,white,1,1,4,5,4,4,4.333333333,2,0,5
